nicolas	_
AVIS	avir	VPP	_
Avis	avir	V	_
trouvé	trouver	VPP	_
à	à	P	_
la	le	DET	_
tête	tête	NC	_
du	de_le	P+D	_
recueil	recueil	NC	_
.	.	PONCT	_
Mes	mon	DET	_
chers	cher	ADJ	_
enfans	enfant	NC	_
:	:	PONCT	_
ma	mon	DET	_
femme	femme	NC	_
,	,	PONCT	_
votre	votre	DET	_
digne	digne	ADJ	_
et	et	CC	_
bonne	bon	ADJ	_
mère	mère	NC	_
(	(	PONCT	_
dont	dont	PROREL	_
Dieu	Dieu	NP	_
aye	avoir	V	_
l'	le	DET	_
âme	âme	NC	_
dans	dans	P	_
son	son	DET	_
sein	sein	NC	_
paternel	paternel	ADJ	_
)	)	PONCT	_
ayant	avoir	VPR	_
jusqu'	jusque	P	_
à	à	P	_
la	le	DET	_
mort	mort	NC	_
gardé	garder	VPP	_
intact	intact	ADJ	_
le	le	DET	_
dépôt	dépôt	NC	_
des	de_le	P+D	_
lettres	lettre	NC	_
de	de	P	_
sa	son	DET	_
bellesoeur	bellesœur	NC	_
Ursule	Ursule	NP	_
,	,	PONCT	_
ce	ce	CLS	_
n'	ne	ADV	_
a	avoir	V	_
été	être	VPP	_
que	que	ADV	_
prête	prêt	ADJ	_
à	à	P	_
rendre	rendre	VINF	_
l'	le	DET	_
âme	âme	NC	_
,	,	PONCT	_
qu'	que	CS	_
elle	il	CLS	_
me	je	CLO	_
l'	il	CLO	_
a	avoir	V	_
remis	remettre	VPP	_
.	.	PONCT	_
Au	à_le	P+D	_
dernier	dernier	ADJ	_
voyage	voyage	NC	_
que	que	PROREL	_
j'	je	CLS	_
ai	avoir	V	_
fait	faire	VPP	_
à	à	P	_
Paris	Paris	NP	_
,	,	PONCT	_
pour	pour	P	_
y	y	CLO	_
voir	voir	VINF	_
le	le	DET	_
comte	comte	NC	_
mon	mon	DET	_
neveu	neveu	NC	_
,	,	PONCT	_
et	et	CC	_
lui	il	CLO	_
exposer	exposer	VINF	_
les	le	DET	_
fruits	fruit	NC	_
de	de	P	_
notre	notre	DET	_
administration	administration	NC	_
d'	de	P	_
Oudun	Oudun	NP	_
,	,	PONCT	_
et	et	CC	_
de	de	P	_
ses	son	DET	_
bienfaits	bienfait	NC	_
,	,	PONCT	_
je	je	CLS	_
l'	il	CLO	_
ai	avoir	V	_
prié	prier	VPP	_
aussi	aussi	ADV	_
de	de	P	_
voir	voir	VINF	_
,	,	PONCT	_
s'	si	CS	_
il	il	CLS	_
ne	ne	ADV	_
trouverait	trouver	V	_
pas	pas	ADV	_
dans	dans	P	_
les	le	DET	_
papiers	papier	NC	_
de	de	P	_
feue	feu	ADJ	_
sa	son	DET	_
pauvre	pauvre	ADJ	_
mère	mère	NC	_
(	(	PONCT	_
que	que	CS	_
Dieu	Dieu	NP	_
lui	il	CLO	_
fasse	faire	V	_
paix	paix	NC	_
et	et	CC	_
miséricorde	miséricorde	NC	_
)	)	PONCT	_
,	,	PONCT	_
quelques	quelque	DET	_
lettres	lettre	NC	_
qui	qui	PROREL	_
pussent	pouvoir	V	_
me	je	CLO	_
servir	servir	VINF	_
à	à	P	_
vous	vous	CLO	_
donner	donner	VINF	_
d'	un	DET	_
utiles	utile	ADJ	_
leçons	leçon	NC	_
,	,	PONCT	_
et	et	CC	_
sur-tout	sur-tout	ADV	_
de	de	P	_
celles	celui	PRO	_
de	de	P	_
votre	votre	DET	_
bonne	bon	ADJ	_
mère	mère	NC	_
.	.	PONCT	_
Il	il	CLS	_
a	avoir	V	_
eu	avoir	VPP	_
la	le	DET	_
bonté	bonté	NC	_
de	de	P	_
s'	se	CLO	_
y	y	CLO	_
prêter	prêter	VINF	_
,	,	PONCT	_
et	et	CC	_
il	il	CLS	_
en-a	en-a	V	_
trouvé	trouver	VPP	_
un	un	DET	_
assés	assez	ADV	_
bon	bon	ADJ	_
nombre	nombre	NC	_
,	,	PONCT	_
qu'	que	CS	_
il	il	CLS	_
m'	je	CLO	_
a	avoir	V	_
remises	remettre	VPP	_
,	,	PONCT	_
et	et	CC	_
que	que	PROREL	_
j'	je	CLS	_
ai	avoir	V	_
rassemblées	rassembler	VPP	_
dans	dans	P	_
cette	ce	DET	_
liasse	liasse	NC	_
,	,	PONCT	_
pour	pour	P	_
qu'	que	CS	_
elles	il	CLS	_
demeurent	demeurer	V	_
dans	dans	P	_
notre	notre	DET	_
famille	famille	NC	_
,	,	PONCT	_
comme	comme	P	_
un	un	DET	_
livre	livre	NC	_
instructif	instructif	ADJ	_
:	:	PONCT	_
car	car	CC	_
on	on	CLS	_
y	y	CLO	_
verra	voir	V	_
que	que	CS	_
le	le	DET	_
principal	principal	ADJ	_
défaut	défaut	NC	_
qui	qui	PROREL	_
a	avoir	V	_
perdu	perdre	VPP	_
notre	notre	DET	_
famille	famille	NC	_
,	,	PONCT	_
a	avoir	V	_
été	être	VPP	_
l'	le	DET	_
intérêt	intérêt	NC	_
,	,	PONCT	_
si	si	ADV	_
ordinaire	ordinaire	ADJ	_
aux	à_le	P+D	_
gens	gens	NC	_
-	-	PONCT	_
de	de	P	_
-	-	PONCT	_
